role,topic,question_id,question_text,ideal_answer,keywords
Data Scientist,Statistics,Q1,What is the difference between mean and median?,Mean is the average of all values while median is the middle value. Median is less affected by outliers compared to mean.,"mean, median, difference, skew, outliers"
Data Scientist,Statistics,Q2,What is standard deviation and why is it important?,Standard deviation measures how spread out the data is from the mean. It helps understand data variability and consistency.,"standard, deviation, variability, spread"
Data Scientist,Statistics,Q3,What is probability?,"Probability is the measure of the likelihood of an event occurring, ranging from 0 to 1.","probability, basics, uncertainty, likelihood"
Data Scientist,Statistics,Q4,Explain normal distribution.,Normal distribution is a symmetric bell-shaped distribution where most values lie near the mean and probabilities decrease as we move away.,"normal, distribution, bell, curve, gaussian"
Data Scientist,Statistics,Q5,What is correlation?,"Correlation measures the strength and direction of relationship between two variables, ranging from -1 to 1.","correlation, relationship, variables"
Data Scientist,Statistics,Q6,What is p-value?,"P-value measures the probability of obtaining results at least as extreme as observed, assuming the null hypothesis is true.","p value, hypothesis, testing, significance"
Data Scientist,Machine Learning,Q7,What is supervised learning?,Supervised learning is a type of machine learning where the model is trained on labeled data to predict outputs.,"supervised, learning, labeled, data"
Data Scientist,Machine Learning,Q8,What is unsupervised learning?,Unsupervised learning involves training models on unlabeled data to find patterns such as clusters or associations.,"unsupervised, clustering, no labels"
Data Scientist,Machine Learning,Q9,What is overfitting?,"Overfitting occurs when a model learns noise and details from training data, performing well on training but poorly on new data.","overfitting, model, memorization, high, variance"
Data Scientist,Machine Learning,Q10,What is underfitting?,"Underfitting happens when a model is too simple to capture patterns in data, leading to poor performance on both training and test data.","underfitting, poor, model, high, bias"
Data Scientist,Machine Learning,Q11,What is train-test split?,Train-test split divides data into training and testing sets to evaluate model performance on unseen data.,"train, test, split, validation, data"
Data Scientist,Machine Learning,Q12,What is a feature?,A feature is an input variable used by a model to make predictions.,"feature, input, variable, dataset"
Data Scientist,Python,Q13,What is a list in Python?,"A list is an ordered, mutable collection of elements in Python that can store different data types.","python, list, data structure, mutable"
Data Scientist,Python,Q14,What is a dictionary in Python?,A dictionary is a collection of key-value pairs in Python used for fast data retrieval.,"python, dictionary, key, value"
Data Scientist,Python,Q15,What is NumPy used for?,"NumPy is a Python library used for numerical computations, especially with arrays and matrices.","numpy, arrays, numerical, computing"
Data Scientist,Python,Q16,What is Pandas?,"Pandas is a Python library used for data manipulation and analysis, mainly using DataFrames.","pandas, dataframe, data, manipulation"
Data Scientist,SQL,Q17,What is SELECT statement?,SELECT is used to retrieve data from a database table.,"select, query, retrieve, data"
Data Scientist,SQL,Q18,What is WHERE clause?,WHERE clause is used to filter records based on specified conditions.,"where, filtering, conditions, sql"
Data Scientist,SQL,Q19,What is GROUP BY?,GROUP BY groups rows that have the same values and is often used with aggregate functions.,"group, by, aggregation, sql"
Data Scientist,SQL,Q20,What is JOIN?,JOIN is used to combine rows from two or more tables based on a related column.,"join, combine, tables, sql"
